,price,size,municipality,distance,status,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3
49,750.0,35.0,705.5941137736924,4047,682.1233097634412,670.416612627114,673.705516292519,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50,750.0,66.0,698.2864955943987,13311,695.2438271604938,701.6980775674542,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
51,650.0,65.0,699.6173866894447,29440,695.2438271604938,690.2090043772075,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
52,720.0,133.0,689.0798550358614,19453,695.2438271604938,701.6980775674542,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
53,600.0,50.0,686.0932915831607,24430,695.2438271604938,670.416612627114,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
54,650.0,61.0,695.813794201381,34886,695.2438271604938,696.0922226905212,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
55,650.0,65.0,698.2864955943987,11537,695.2438271604938,697.6898426464414,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
56,700.0,45.0,705.5941137736924,12321,695.2438271604938,697.6898426464414,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
57,625.0,62.0,696.177593357043,11666,695.2438271604938,678.6640137059316,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
58,595.0,45.0,705.5941137736924,4543,695.2438271604938,678.6640137059316,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
59,650.0,55.0,705.5941137736924,10495,695.2438271604938,710.7500724586687,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
60,725.0,50.0,705.5941137736924,7708,695.2438271604938,696.0922226905212,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
61,750.0,95.0,699.6173866894447,28483,695.2438271604938,697.9828806237635,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
62,700.0,30.0,705.5941137736924,12049,695.2438271604938,701.6980775674542,702.2528716519531,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
63,700.0,27.0,705.5941137736924,1391,695.2438271604938,697.6898426464414,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
64,650.0,59.0,699.6173866894447,30562,695.2438271604938,701.6980775674542,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
65,550.0,40.0,674.3353453994757,17750,695.2438271604938,697.6898426464414,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
66,650.0,55.0,705.5941137736924,10296,695.2438271604938,710.7500724586687,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
67,750.0,65.0,705.5941137736924,5580,695.2438271604938,670.416612627114,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
68,725.0,70.0,705.5941137736924,4117,695.2438271604938,670.416612627114,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
69,700.0,80.0,699.6173866894447,29460,695.2438271604938,701.6980775674542,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70,650.0,40.0,705.5941137736924,12224,695.2438271604938,678.6640137059316,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
71,695.0,90.0,705.5941137736924,7729,695.2438271604938,670.416612627114,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
72,750.0,55.0,705.5941137736924,6017,695.2438271604938,670.416612627114,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
73,650.0,65.0,705.5941137736924,7559,695.2438271604938,670.416612627114,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
74,666.0,70.0,692.2731637371271,24862,695.2438271604938,701.6980775674542,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
75,750.0,78.0,699.6173866894447,29976,695.2438271604938,670.416612627114,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76,630.0,74.0,684.7440233485155,36483,695.2438271604938,670.416612627114,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
77,635.0,55.0,685.5281804951461,14528,695.2438271604938,696.0922226905212,702.2528716519531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,725.0,69.0,695.813794201381,35892,695.2438271604938,701.6980775674542,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
79,750.0,35.0,705.5941137736924,859,695.2438271604938,701.6980775674542,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
80,690.0,65.0,705.5941137736924,4724,695.2438271604938,697.6898426464414,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
81,700.0,30.0,705.5941137736924,1041,695.2438271604938,696.0922226905212,702.2528716519531,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,730.0,64.0,697.3853988595729,20235,695.2438271604938,701.6980775674542,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
83,750.0,51.0,705.5941137736924,3436,695.2438271604938,701.6980775674542,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
84,750.0,48.0,701.0271662958082,20526,695.2438271604938,710.7500724586687,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
