,price,size_stand,distance_stand,status,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3
34,750.0,0.432211985644941,0.8872069954612913,699.9968051118205,705.4866033866903,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
35,625.0,-0.3251721723219523,1.7550370618804336,699.9968051118205,705.4866033866903,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36,700.0,-0.8300949442998812,-1.1284173931763213,699.9968051118205,701.603661594757,704.7764683062795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,750.0,-0.8300949442998812,-1.0555439094862111,699.9968051118205,693.7263434514286,704.7764683062795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,650.0,-1.040479432624018,-1.1513289347016096,699.9968051118205,705.4866033866903,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
39,720.0,0.432211985644941,0.9164746420548852,699.9968051118205,705.4866033866903,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
40,699.0,-0.3251721723219523,-0.7100230816451713,699.9968051118205,701.603661594757,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
41,750.0,0.221827497320804,-0.2673868810162968,699.9968051118205,675.9743824969121,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
42,695.0,0.221827497320804,-0.20656043367658,699.9968051118205,675.9743824969121,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43,750.0,0.7688271669635603,0.2232157404187454,699.9968051118205,675.9743824969121,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
