,price,propertyType,size_stand,exterior,rooms,bathrooms,distance_stand,status,floor,hasLift
66,700.0,flat,-1.3770946139426374,False,1,1,-1.131373721115068,good,3,False
67,650.0,flat,-0.03063388866816041,True,2,1,1.0246023364145518,good,1,True
68,550.0,flat,-0.8300949442998812,True,1,1,0.07769049763393099,good,3,True
69,650.0,flat,-0.19894147932747003,True,1,1,-0.4732212137515473,good,4,True
70,750.0,flat,0.22182749732080403,True,2,1,-0.8217722777298027,good,Desconocido,True
71,725.0,flat,0.43221198564494107,True,2,1,-0.9298999720894693,good,Desconocido,True
72,700.0,flat,0.8529809622932151,True,1,1,0.9431555017020757,good,1,False
73,650.0,flat,-0.8300949442998812,True,1,1,-0.3307262071039484,good,bj,True
74,695.0,flat,1.2737499389414892,True,3,1,-0.6629435592206274,good,Desconocido,False
75,750.0,flat,-0.19894147932747003,True,1,1,-0.7894743949989932,good,Desconocido,False
76,650.0,flat,0.22182749732080403,True,2,1,-0.6755079529603015,good,Desconocido,True
77,666.0,flat,0.43221198564494107,True,1,2,0.6033256051431236,good,1,True
78,750.0,flat,0.7688271669635603,True,2,2,0.9812921321119104,good,Desconocido,True
79,630.0,flat,0.6005195763042507,True,3,1,1.4622127795475566,good,Desconocido,True
80,635.0,studio,-0.19894147932747003,True,0,1,-0.160441717832129,good,2,True
81,725.0,flat,0.39013508798011365,True,2,1,1.4185330342525717,good,1,True
82,750.0,flat,-1.040479432624018,False,1,1,-1.1706928827004015,good,1,False
83,690.0,flat,0.22182749732080403,True,2,1,-0.8850376956189856,good,3,False
84,700.0,studio,-1.2508639209481551,False,0,1,-1.1572415905791031,good,2,True
85,730.0,flat,0.17975059965597662,True,3,1,0.26135237082858,good,1,False
86,750.0,flat,-0.36724906998677964,True,1,1,-0.9802314552466347,good,1,True
87,750.0,flat,-0.4934797629812619,False,1,1,0.2828596565829634,good,4,True
88,690.0,flat,-1.040479432624018,True,1,1,-0.8792728561384292,good,Desconocido,False
89,750.0,flat,0.6005195763042507,True,3,1,-0.27211700571829184,good,4,True
90,700.0,duplex,-1.040479432624018,True,1,1,-1.1712102400896822,good,bj,False
91,720.0,flat,-0.7459411489702263,True,1,1,-0.6183030073455497,good,4,True
